year,month,location,season_cn,cases_total,vaccine_avg,resource_avg,transmission_avg
2023,1,Rural,冬季,9488,0.19230769230769232,0.1,1.2
2023,1,Suburban,冬季,4333,0.2374429223744292,0.1,1.2
2023,1,Urban,冬季,29629,0.21208053691275167,0.1,1.2
2023,2,Rural,冬季,7281,0.18406593406593408,0.09999999999999999,1.2
2023,2,Suburban,冬季,3846,0.22797927461139897,0.1,1.2
2023,2,Urban,冬季,25654,0.1891891891891892,0.1,1.2
2023,3,Rural,春季,8205,0.21153846153846154,0.1,0.9000000000000001
2023,3,Suburban,春季,4107,0.1792452830188679,0.10000000000000002,0.9
2023,3,Urban,春季,30443,0.18733509234828497,0.09999999999999999,0.9
2023,4,Rural,春季,8372,0.20631067961165048,0.1,0.9
2023,4,Suburban,春季,3945,0.13846153846153847,0.1,0.9
2023,4,Urban,春季,27241,0.20307917888563048,0.1,0.9000000000000001
2023,5,Rural,春季,9169,0.20607375271149675,0.1,0.9
2023,5,Suburban,春季,4673,0.1829787234042553,0.1,0.9
2023,5,Urban,春季,31399,0.20151133501259447,0.1,0.9
2023,6,Rural,夏季,7787,0.17277486910994763,0.1,0.6
2023,6,Suburban,夏季,3612,0.24324324324324326,0.1,0.6
2023,6,Urban,夏季,27183,0.21021897810218979,0.1,0.6
2023,7,Rural,夏季,8155,0.17317073170731706,0.1,0.6
2023,7,Suburban,夏季,4707,0.211864406779661,0.1,0.6
2023,7,Urban,夏季,30380,0.18491803278688523,0.1,0.6
2023,8,Rural,夏季,8801,0.19954648526077098,0.1,0.6
2023,8,Suburban,夏季,4362,0.17289719626168223,0.1,0.6
2023,8,Urban,夏季,29759,0.21087978509066488,0.1,0.6
2023,9,Rural,秋季,7491,0.20967741935483872,0.1,0.8
2023,9,Suburban,秋季,3994,0.24,0.1,0.8
2023,9,Urban,秋季,28376,0.21063829787234042,0.1,0.8
2023,10,Rural,秋季,9199,0.19866071428571427,0.1,0.8
2023,10,Suburban,秋季,4004,0.18181818181818182,0.1,0.8
2023,10,Urban,秋季,30846,0.20857699805068225,0.1,0.8
2023,11,Rural,秋季,8571,0.2023529411764706,0.1,0.8
2023,11,Suburban,秋季,4039,0.2524271844660194,0.1,0.8
2023,11,Urban,秋季,28723,0.22206605762473647,0.1,0.8
2023,12,Rural,冬季,8728,0.17701149425287357,0.1,1.2
2023,12,Suburban,冬季,4265,0.22380952380952382,0.1,1.2
2023,12,Urban,冬季,29510,0.19176232275489535,0.09999999999999999,1.2
2024,1,Rural,冬季,8862,0.2119815668202765,0.10000000000000002,1.2
2024,1,Suburban,冬季,3853,0.21761658031088082,0.1,1.2
2024,1,Urban,冬季,29161,0.23747426218256693,0.1,1.2
2024,2,Rural,冬季,8315,0.1937046004842615,0.1,1.2
2024,2,Suburban,冬季,3734,0.25,0.1,1.2
2024,2,Urban,冬季,27592,0.1937363437727604,0.1,1.2
2024,3,Rural,春季,8224,0.19901719901719903,0.1,0.9
2024,3,Suburban,春季,4291,0.2146118721461187,0.1,0.9
2024,3,Urban,春季,29275,0.18267929634641408,0.1,0.9
2024,4,Rural,春季,7987,0.20906801007556675,0.1,0.9
2024,4,Suburban,春季,3897,0.203125,0.10000000000000002,0.9
2024,4,Urban,春季,28427,0.17464788732394365,0.1,0.9
2024,5,Rural,春季,8408,0.16428571428571428,0.1,0.9
2024,5,Suburban,春季,4203,0.14354066985645933,0.1,0.9
2024,5,Urban,春季,29286,0.20765027322404372,0.1,0.9000000000000001
2024,6,Rural,夏季,8884,0.20135746606334842,0.1,0.6
2024,6,Suburban,夏季,4012,0.175,0.1,0.6
2024,6,Urban,夏季,28754,0.21104122990915444,0.09999999999999999,0.6
2024,7,Rural,夏季,8407,0.2161520190023753,0.1,0.6
2024,7,Suburban,夏季,4054,0.24242424242424243,0.1,0.6
2024,7,Urban,夏季,28861,0.20317899101589496,0.1,0.6
2024,8,Rural,夏季,8296,0.16990291262135923,0.1,0.6
2024,8,Suburban,夏季,3844,0.1875,0.10000000000000002,0.6
2024,8,Urban,夏季,29574,0.2028301886792453,0.1,0.6
2024,9,Rural,秋季,9130,0.18222222222222223,0.1,0.8
2024,9,Suburban,秋季,3726,0.24175824175824176,0.09999999999999999,0.7999999999999999
2024,9,Urban,秋季,29137,0.1927792915531335,0.1,0.8
2024,10,Rural,秋季,349,0.1875,0.1,0.8
2024,10,Suburban,秋季,181,0.4,0.1,0.8
2024,10,Urban,秋季,886,0.17777777777777778,0.1,0.8
